Number of Individual,Calendar Month,Latitude,Longitude
2,2019-FEB,37.51596,-121.950337
2,2019-FEB,37.516,-121.995187
1,2019-FEB,37.516002,-121.948679
1,2019-FEB,37.516234,-121.96272
1,2019-FEB,37.516258,-121.949259
1,2019-FEB,37.516303,-121.948096
3,2019-FEB,37.516337,-121.948971
1,2019-FEB,37.516355,-121.955952
1,2019-FEB,37.516365,-121.950867
1,2019-FEB,37.516411,-121.954042
5,2019-FEB,37.516492,-121.950278
1,2019-FEB,37.516507,-121.953049
1,2019-FEB,37.516544,-121.948271
1,2019-FEB,37.516565,-121.95122
3,2019-FEB,37.516566,-121.994221
1,2019-FEB,37.516628,-121.952159
1,2019-FEB,37.516671,-121.960925
4,2019-FEB,37.516672,-121.998558
1,2019-FEB,37.516682,-121.998551
1,2019-FEB,37.516749,-121.95519
1,2019-FEB,37.516787,-121.950226
2,2019-FEB,37.51688,-121.954379
1,2019-FEB,37.516953,-121.998041
1,2019-FEB,37.516953,-121.963314
2,2019-FEB,37.516961,-121.966924
2,2019-FEB,37.517071,-121.973091
2,2019-FEB,37.517149,-121.977383
1,2019-FEB,37.517193,-121.998115
3,2019-FEB,37.517203,-121.998107
1,2019-FEB,37.517291,-121.949999
2,2019-FEB,37.517303,-121.975792
3,2019-FEB,37.517416,-121.955882
1,2019-FEB,37.517485,-121.961446
2,2019-FEB,37.517506,-121.962684
3,2019-FEB,37.517559,-121.994048
5,2019-FEB,37.517589,-121.970377
1,2019-FEB,37.517684,-122.000329
1,2019-FEB,37.517739,-121.970062
1,2019-FEB,37.517749,-122.00027
2,2019-FEB,37.517784,-121.952446
1,2019-FEB,37.517811,-121.922995
2,2019-FEB,37.51783,-121.960526
1,2019-FEB,37.517867,-121.996333
1,2019-FEB,37.517871,-121.960236
1,2019-FEB,37.517897,-121.95251
1,2019-FEB,37.517916,-122.001228
1,2019-FEB,37.518018,-121.96501
2,2019-FEB,37.518051,-121.959058
2,2019-FEB,37.518054,-122.000574
2,2019-FEB,37.518078,-121.956052
2,2019-FEB,37.518121,-121.973478
1,2019-FEB,37.518133,-121.979306
3,2019-FEB,37.518161,-121.950735
3,2019-FEB,37.518175,-121.969286
2,2019-FEB,37.518245,-121.95172
1,2019-FEB,37.518271,-121.968476
5,2019-FEB,37.518272,-121.952388
1,2019-FEB,37.518278,-121.975643
1,2019-FEB,37.518397,-121.963128
1,2019-FEB,37.518398,-121.99919
3,2019-FEB,37.518438,-121.995373
2,2019-FEB,37.518448,-121.998987
5,2019-FEB,37.518503,-121.949169
2,2019-FEB,37.51852,-121.969739
3,2019-FEB,37.518574,-121.949241
2,2019-FEB,37.518579,-121.965839
3,2019-FEB,37.518727,-121.992095
4,2019-FEB,37.518733,-121.962658
3,2019-FEB,37.518874,-121.97593
2,2019-FEB,37.518947,-122.049109
1,2019-FEB,37.518964,-121.997336
3,2019-FEB,37.518972,-121.99735
2,2019-FEB,37.518972,-121.968656
2,2019-FEB,37.518995,-121.996798
3,2019-FEB,37.519053,-121.976619
3,2019-FEB,37.519239,-122.000466
5,2019-FEB,37.519248,-121.953721
1,2019-FEB,37.519261,-121.950423
1,2019-FEB,37.519271,-121.99992
2,2019-FEB,37.519295,-121.95052
2,2019-FEB,37.5193,-121.97771
3,2019-FEB,37.519339,-121.962271
10,2019-FEB,37.519381,-121.994307
1,2019-FEB,37.519429,-121.94958
1,2019-FEB,37.519464,-121.954385
1,2019-FEB,37.519481,-121.977958
2,2019-FEB,37.519493,-121.994526
1,2019-FEB,37.519515,-121.969523
2,2019-FEB,37.519605,-121.994745
1,2019-FEB,37.519642,-121.956502
3,2019-FEB,37.519656,-121.979665
2,2019-FEB,37.519709,-122.000038
1,2019-FEB,37.519806,-121.954686
2,2019-FEB,37.519811,-121.957926
3,2019-FEB,37.51982,-121.922166
5,2019-FEB,37.519829,-121.972641
1,2019-FEB,37.519968,-121.977566
1,2019-FEB,37.519968,-121.951536
1,2019-FEB,37.519988,-121.976973
5,2019-FEB,37.519997,-121.999318
5,2019-FEB,37.520008,-121.95616
2,2019-FEB,37.520137,-122.006583
2,2019-FEB,37.520144,-121.97562
3,2019-FEB,37.520157,-121.972592
2,2019-FEB,37.52017,-121.953289
3,2019-FEB,37.520192,-122.064728
1,2019-FEB,37.520218,-121.961217
1,2019-FEB,37.520231,-122.006876
2,2019-FEB,37.520232,-122.268501
1,2019-FEB,37.520318,-121.96087
3,2019-FEB,37.520373,-121.980781
2,2019-FEB,37.52043,-121.967901
1,2019-FEB,37.520462,-121.997231
2,2019-FEB,37.520462,-121.981502
2,2019-FEB,37.520544,-121.973926
1,2019-FEB,37.520561,-121.973003
2,2019-FEB,37.52062,-121.960683
2,2019-FEB,37.520665,-121.980798
2,2019-FEB,37.520851,-121.967182
6,2019-FEB,37.520873,-121.997952
1,2019-FEB,37.520891,-121.97746
2,2019-FEB,37.520903,-121.951946
2,2019-FEB,37.520912,-121.954284
1,2019-FEB,37.521069,-121.967967
2,2019-FEB,37.52108,-121.965093
